track_id,cam_id,start_frame,end_frame,start_ms,end_ms,start_common_clock_ms,end_common_clock_ms,n_frames,class_mode,mean_conf,median_conf,median_w,median_h,max_area_px,pct_edge_touch,pct_blurry,n_large_box_frames,n_non_edge_frames,n_sharp_frames,duration_ms,usable_track,best_frame_idx,best_source_timestamp_ms,best_common_clock_ms
769,garage,7451,7497,248615.03333333335,250149.9,248615.03333333335,250149.9,44,2,0.7236442782662131,0.7564867436885834,72.5,101.0,19272,0.45454545454545453,0.0,26,24,44,1534.8666666666395,True,7496,250116.53333333333,250116.53333333333
801,garage,7596,7630,253453.2,254587.6666666667,253453.2,254587.6666666667,34,2,0.5100104370537926,0.5055690109729767,295.5,167.0,68237,0.058823529411764705,0.20588235294117652,34,32,27,1134.4666666666744,True,7609,253886.96666666667,253886.96666666667
46,garage,1130,1160,37704.333333333336,38705.333333333336,37704.333333333336,38705.333333333336,31,2,0.5081696087314237,0.5278684496879578,254.0,206.0,62208,0.0,0.0,31,31,31,1001.0,True,1149,38338.3,38338.3
849,garage,7866,7897,262462.2,263496.5666666667,262462.2,263496.5666666667,31,7,0.6192199530140046,0.6341851949691772,234.0,165.0,39270,0.06451612903225806,0.032258064516129004,31,29,30,1034.3666666666977,True,7892,263329.73333333334,263329.73333333334
710,garage,6904,6935,230363.46666666667,231397.83333333334,230363.46666666667,231397.83333333334,30,2,0.6317941904067993,0.6928181648254395,150.5,194.5,47264,0.03333333333333333,0.0,24,29,30,1034.3666666666686,True,6934,231364.46666666667,231364.46666666667
900,garage,8817,8845,294193.9,295128.1666666667,294193.9,295128.1666666667,29,2,0.7256881348017988,0.7745404839515686,109.0,160.0,29058,0.034482758620689655,0.3793103448275862,20,28,18,934.2666666666628,True,8833,294727.7666666667,294727.7666666667
335,garage,3478,3505,116049.26666666666,116950.16666666667,116049.26666666666,116950.16666666667,28,2,0.8678488305636815,0.9164029657840729,329.5,374.0,202608,0.4642857142857143,0.0,26,15,28,900.9000000000087,True,3486,116316.20000000001,116316.20000000001
529,garage,5333,5363,177944.43333333335,178945.43333333335,177944.43333333335,178945.43333333335,26,2,0.6518581016705587,0.6102456152439117,197.0,570.5,302305,0.15384615384615385,0.15384615384615385,21,22,22,1001.0,True,5342,178244.73333333334,178244.73333333334
675,garage,6332,6360,211277.73333333334,212212.00000000003,211277.73333333334,212212.00000000003,24,2,0.7276985583206018,0.8703583776950836,378.5,423.0,226200,0.4166666666666667,0.04166666666666663,24,14,23,934.2666666666919,True,6336,211411.2,211411.2
398,garage,4577,4598,152719.23333333334,153419.93333333335,152719.23333333334,153419.93333333335,22,2,0.8363655643029646,0.8790392279624939,125.5,151.0,43884,0.0,0.0,17,22,22,700.7000000000116,True,4593,153253.1,153253.1
2,garage,35,56,1167.8333333333333,1868.5333333333333,1167.8333333333333,1868.5333333333333,22,2,0.6938944025473162,0.7497453689575195,90.5,198.0,30800,0.0,0.7272727272727273,14,22,6,700.7,True,47,1568.2333333333333,1568.2333333333333
673,garage,6313,6335,210643.76666666666,211377.83333333334,210643.76666666666,211377.83333333334,22,2,0.709142657843503,0.7394107282161713,99.5,176.0,30294,0.045454545454545456,0.2272727272727273,15,21,17,734.0666666666802,True,6325,211044.1666666667,211044.1666666667
311,garage,3150,3172,105105.0,105839.06666666667,105105.0,105839.06666666667,22,2,0.7645625201138583,0.8077106773853302,86.5,173.5,24752,0.045454545454545456,0.09090909090909094,14,21,20,734.0666666666657,True,3162,105505.40000000001,105505.40000000001
231,garage,2082,2105,69469.40000000001,70236.83333333334,69469.40000000001,70236.83333333334,21,2,0.7846662643409911,0.805903971195221,101.0,177.0,29484,0.0,0.7142857142857143,14,21,6,767.4333333333343,True,2089,69702.96666666667,69702.96666666667
619,garage,5624,5643,187654.13333333333,188288.1,187654.13333333333,188288.1,20,2,0.8318612009286881,0.8753702044487,109.5,184.5,31758,0.0,0.44999999999999996,14,20,11,633.9666666666744,True,5638,188121.2666666667,188121.2666666667
